date,number_of_messages
2022-11-01,0
2022-11-02,0
2022-11-03,0
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,0
2022-11-08,0
2022-11-09,0
2022-11-10,0
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,0
2022-12-01,0
2022-12-02,0
2022-12-03,0
2022-12-04,0
2022-12-05,0
2022-12-06,0
2022-12-07,0
2022-12-08,0
2022-12-09,0
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,0
2022-12-14,0
2022-12-15,0
2022-12-16,0
2022-12-17,0
2022-12-18,0
2022-12-19,0
2022-12-20,0
2022-12-21,0
2022-12-22,0
2022-12-23,0
2022-12-24,1
2022-12-25,2
2022-12-26,26
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,2
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,2
2023-01-04,4
2023-01-05,1
2023-01-06,0
2023-01-07,7
2023-01-08,8
2023-01-09,6
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,1
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,18
2023-01-22,1
2023-01-23,1
2023-01-24,5
2023-01-25,13
2023-01-26,0
2023-01-27,0
2023-01-28,6
2023-01-29,3
2023-01-30,5
2023-01-31,19
2023-02-01,5
2023-02-02,5
2023-02-03,0
2023-02-04,0
2023-02-05,4
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,4
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,15
2023-02-14,2
2023-02-15,8
2023-02-16,0
2023-02-17,4
2023-02-18,0
2023-02-19,0
2023-02-20,1
2023-02-21,10
2023-02-22,2
2023-02-23,0
2023-02-24,3
2023-02-25,0
2023-02-26,0
2023-02-27,2
2023-02-28,0
2023-03-01,0
2023-03-02,32
2023-03-03,7
2023-03-04,8
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,13
2023-03-10,4
2023-03-11,17
2023-03-12,18
2023-03-13,0
2023-03-14,1
2023-03-15,3
2023-03-16,0
2023-03-17,2
2023-03-18,0
2023-03-19,6
2023-03-20,0
2023-03-21,0
2023-03-22,2
2023-03-23,0
2023-03-24,0
2023-03-25,7
2023-03-26,8
2023-03-27,50
2023-03-28,23
2023-03-29,33
2023-03-30,94
2023-03-31,31
2023-04-01,1
2023-04-02,15
2023-04-03,15
2023-04-04,5
2023-04-05,25
2023-04-06,15
2023-04-07,18
2023-04-08,20
2023-04-09,2
2023-04-10,0
2023-04-11,5
2023-04-12,15
2023-04-13,2
2023-04-14,2
2023-04-15,9
2023-04-16,45
2023-04-17,23
2023-04-18,10
2023-04-19,19
2023-04-20,4
2023-04-21,9
2023-04-22,21
2023-04-23,2
2023-04-24,7
2023-04-25,18
2023-04-26,15
2023-04-27,2
2023-04-28,12
2023-04-29,11
2023-04-30,6
2023-05-01,17
2023-05-02,28
2023-05-03,8
2023-05-04,7
2023-05-05,9
2023-05-06,0
2023-05-07,6
2023-05-08,0
2023-05-09,8
2023-05-10,4
2023-05-11,15
2023-05-12,23
2023-05-13,3
2023-05-14,0
2023-05-15,13
2023-05-16,9
2023-05-17,11
2023-05-18,17
2023-05-19,4
2023-05-20,7
2023-05-21,1
2023-05-22,14
2023-05-23,5
2023-05-24,8
2023-05-25,7
2023-05-26,20
2023-05-27,24
2023-05-28,15
2023-05-29,6
2023-05-30,23
2023-05-31,15
2023-06-01,0
2023-06-02,0
2023-06-03,36
2023-06-04,15
2023-06-05,4
2023-06-06,8
2023-06-07,0
2023-06-08,11
2023-06-09,0
2023-06-10,0
2023-06-11,0
2023-06-12,0
2023-06-13,0
2023-06-14,2
2023-06-15,2
2023-06-16,4
2023-06-17,14
2023-06-18,18
2023-06-19,6
2023-06-20,8
2023-06-21,3
2023-06-22,0
2023-06-23,10
2023-06-24,87
2023-06-25,60
2023-06-26,9
2023-06-27,10
2023-06-28,14
2023-06-29,39
2023-06-30,72
2023-07-01,11
2023-07-02,14
2023-07-03,56
2023-07-04,42
2023-07-05,7
2023-07-06,24
2023-07-07,7
2023-07-08,25
2023-07-09,18
2023-07-10,0
2023-07-11,1
2023-07-12,23
2023-07-13,8
2023-07-14,19
2023-07-15,12
2023-07-16,2
2023-07-17,6
2023-07-18,9
2023-07-19,18
2023-07-20,8
2023-07-21,15
2023-07-22,5
2023-07-23,0
2023-07-24,4
2023-07-25,14
2023-07-26,15
2023-07-27,5
2023-07-28,5
2023-07-29,0
2023-07-30,6
2023-07-31,4
2023-08-01,0
2023-08-02,4
2023-08-03,10
2023-08-04,2
2023-08-05,2
2023-08-06,15
2023-08-07,11
2023-08-08,0
2023-08-09,7
2023-08-10,2
2023-08-11,14
2023-08-12,3
2023-08-13,9
2023-08-14,10
2023-08-15,2
2023-08-16,3
2023-08-17,0
2023-08-18,16
2023-08-19,20
2023-08-20,13
2023-08-21,3
2023-08-22,8
2023-08-23,0
2023-08-24,6
2023-08-25,0
2023-08-26,0
2023-08-27,15
2023-08-28,1
2023-08-29,28
2023-08-30,21
2023-08-31,60
2023-09-01,11
2023-09-02,19
2023-09-03,27
2023-09-04,5
2023-09-05,41
2023-09-06,32
2023-09-07,44
2023-09-08,41
2023-09-09,35
2023-09-10,56
2023-09-11,49
2023-09-12,40
2023-09-13,35
2023-09-14,40
2023-09-15,46
2023-09-16,65
2023-09-17,10
2023-09-18,47
2023-09-19,33
2023-09-20,29
2023-09-21,59
2023-09-22,25
2023-09-23,16
2023-09-24,30
2023-09-25,74
2023-09-26,55
2023-09-27,48
2023-09-28,30
2023-09-29,34
2023-09-30,38
2023-10-01,67
2023-10-02,24
2023-10-03,24
2023-10-04,35
2023-10-05,26
2023-10-06,55
2023-10-07,0
2023-10-08,66
2023-10-09,18
2023-10-10,64
2023-10-11,33
2023-10-12,46
2023-10-13,13
2023-10-14,17
2023-10-15,18
2023-10-16,23
2023-10-17,35
2023-10-18,45
2023-10-19,24
2023-10-20,15
2023-10-21,0
2023-10-22,0
2023-10-23,1
2023-10-24,23
2023-10-25,46
2023-10-26,3
2023-10-27,1
2023-10-28,0
2023-10-29,4
2023-10-30,28
2023-10-31,17
2023-11-01,36
2023-11-02,22
2023-11-03,6
2023-11-04,3
2023-11-05,10
2023-11-06,18
2023-11-07,24
2023-11-08,9
2023-11-09,18
2023-11-10,57
2023-11-11,28
2023-11-12,21
2023-11-13,29
2023-11-14,25
2023-11-15,31
2023-11-16,59
2023-11-17,38
2023-11-18,17
2023-11-19,39
2023-11-20,48
2023-11-21,45
2023-11-22,25
2023-11-23,14
2023-11-24,3
2023-11-25,7
2023-11-26,13
2023-11-27,53
2023-11-28,33
2023-11-29,0
2023-11-30,12
2023-12-01,15
2023-12-02,20
2023-12-03,9
2023-12-04,29
2023-12-05,36
2023-12-06,26
2023-12-07,15
2023-12-08,6
2023-12-09,17
2023-12-10,13
2023-12-11,4
2023-12-12,6
2023-12-13,24
2023-12-14,41
2023-12-15,65
2023-12-16,5
2023-12-17,24
2023-12-18,32
2023-12-19,23
2023-12-20,22
2023-12-21,10
2023-12-22,7
2023-12-23,6
2023-12-24,12
2023-12-25,50
2023-12-26,20
2023-12-27,39
2023-12-28,44
2023-12-29,31
2023-12-30,29
2023-12-31,22
2024-01-01,12
2024-01-02,11
2024-01-03,4
2024-01-04,34
2024-01-05,32
2024-01-06,23
2024-01-07,11
2024-01-08,29
2024-01-09,45
2024-01-10,67
2024-01-11,18
2024-01-12,21
2024-01-13,5
2024-01-14,6
2024-01-15,22
2024-01-16,13
2024-01-17,29
2024-01-18,6
2024-01-19,1
2024-01-20,30
2024-01-21,17
2024-01-22,18
2024-01-23,15
2024-01-24,0
2024-01-25,50
2024-01-26,54
2024-01-27,2
2024-01-28,21
2024-01-29,52
2024-01-30,32
2024-01-31,40
2024-02-01,33
2024-02-02,18
2024-02-03,46
2024-02-04,84
2024-02-05,23
2024-02-06,43
2024-02-07,61
2024-02-08,86
2024-02-09,55
2024-02-10,12
2024-02-11,7
2024-02-12,24
2024-02-13,16
2024-02-14,12
2024-02-15,24
2024-02-16,42
2024-02-17,34
2024-02-18,19
2024-02-19,50
2024-02-20,20
2024-02-21,45
2024-02-22,30
2024-02-23,48
2024-02-24,8
2024-02-25,29
2024-02-26,31
2024-02-27,49
2024-02-28,13
2024-02-29,5
2024-03-01,5
2024-03-02,8
2024-03-03,5
2024-03-04,4
2024-03-05,6
2024-03-06,3
2024-03-07,28
2024-03-08,47
2024-03-09,19
2024-03-10,2
2024-03-11,13
2024-03-12,28
2024-03-13,18
2024-03-14,54
2024-03-15,50
2024-03-16,49
2024-03-17,41
2024-03-18,50
2024-03-19,39
2024-03-20,48
2024-03-21,35
2024-03-22,66
2024-03-23,65
2024-03-24,26
2024-03-25,53
2024-03-26,44
2024-03-27,31
2024-03-28,54
2024-03-29,39
2024-03-30,48
2024-03-31,52
2024-04-01,47
2024-04-02,25
2024-04-03,43
2024-04-04,39
2024-04-05,39
2024-04-06,39
2024-04-07,30
2024-04-08,37
2024-04-09,59
2024-04-10,28
2024-04-11,59
2024-04-12,60
2024-04-13,45
2024-04-14,19
2024-04-15,39
2024-04-16,33
2024-04-17,20
2024-04-18,59
2024-04-19,11
2024-04-20,10
2024-04-21,45
2024-04-22,50
2024-04-23,49
2024-04-24,69
2024-04-25,34
2024-04-26,62
2024-04-27,32
2024-04-28,22
2024-04-29,64
2024-04-30,94
2024-05-01,71
2024-05-02,43
2024-05-03,42
2024-05-04,81
2024-05-05,54
2024-05-06,44
2024-05-07,71
2024-05-08,34
2024-05-09,44
2024-05-10,37
2024-05-11,44
2024-05-12,76
2024-05-13,21
2024-05-14,31
2024-05-15,60
2024-05-16,29
2024-05-17,57
2024-05-18,52
2024-05-19,53
2024-05-20,46
2024-05-21,57
2024-05-22,27
2024-05-23,62
2024-05-24,49
2024-05-25,13
2024-05-26,29
2024-05-27,11
2024-05-28,12
2024-05-29,45
2024-05-30,16
2024-05-31,37
2024-06-01,27
2024-06-02,28
2024-06-03,38
2024-06-04,20
2024-06-05,99
2024-06-06,49
2024-06-07,59
2024-06-08,62
2024-06-09,52
2024-06-10,57
2024-06-11,32
2024-06-12,32
2024-06-13,32
2024-06-14,47
2024-06-15,40
2024-06-16,42
2024-06-17,87
2024-06-18,40
2024-06-19,26
2024-06-20,48
2024-06-21,26
2024-06-22,31
2024-06-23,20
2024-06-24,69
2024-06-25,61
2024-06-26,50
2024-06-27,33
2024-06-28,75
2024-06-29,63
2024-06-30,55
2024-07-01,36
2024-07-02,55
2024-07-03,88
2024-07-04,33
2024-07-05,19
2024-07-06,42
2024-07-07,66
2024-07-08,63
2024-07-09,86
2024-07-10,54
2024-07-11,47
2024-07-12,56
2024-07-13,37
2024-07-14,56
2024-07-15,41
2024-07-16,47
2024-07-17,72
2024-07-18,72
2024-07-19,49
2024-07-20,61
2024-07-21,23
2024-07-22,23
2024-07-23,32
2024-07-24,10
2024-07-25,54
2024-07-26,85
2024-07-27,17
2024-07-28,25
2024-07-29,55
2024-07-30,93
2024-07-31,53
2024-08-01,69
2024-08-02,48
2024-08-03,15
2024-08-04,50
2024-08-05,65
2024-08-06,13
2024-08-07,28
2024-08-08,13
2024-08-09,40
2024-08-10,19
2024-08-11,32
2024-08-12,36
2024-08-13,50
2024-08-14,20
2024-08-15,68
2024-08-16,41
2024-08-17,64
2024-08-18,27
2024-08-19,53
2024-08-20,56
2024-08-21,32
2024-08-22,39
2024-08-23,41
2024-08-24,33
2024-08-25,39
2024-08-26,30
